Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
195,0.1705,17.33453,15.452,M,70,iJO1366,3,EX_etoh_e
196,0.19406,16.90208,11.046,M,80,iJO1366,3,EX_etoh_e
197,0.22264,8.55002,9.734,M,90,iJO1366,3,EX_etoh_e
198,0.07692,18.86302,55.639,O,10,iJO1366,3,EX_etoh_e
199,0.07692,18.86302,53.564,O,20,iJO1366,3,EX_etoh_e
200,0.07692,18.86302,51.469,O,30,iJO1366,3,EX_etoh_e
201,0.1705,17.33451,39.534,O,40,iJO1366,3,EX_etoh_e
202,0.1705,17.33452,34.794,O,50,iJO1366,3,EX_etoh_e
203,0.1705,17.33451,34.756,O,60,iJO1366,3,EX_etoh_e
204,0.1705,17.33451,34.622,O,70,iJO1366,3,EX_etoh_e
205,0.19406,16.90203,23.367,O,80,iJO1366,3,EX_etoh_e
206,0.22264,8.54996,19.36,O,90,iJO1366,3,EX_etoh_e
207,0.07692,18.86291,47.125,P,10,iJO1366,3,EX_etoh_e
208,0.07692,18.86291,38.433,P,20,iJO1366,3,EX_etoh_e
209,0.07692,18.86291,31.553,P,30,iJO1366,3,EX_etoh_e
210,0.18921,17.20292,24.329,P,40,iJO1366,3,EX_etoh_e
211,0.18921,17.20292,22.183,P,50,iJO1366,3,EX_etoh_e
212,0.18921,17.20292,17.709,P,60,iJO1366,3,EX_etoh_e
213,0.18921,17.20292,22.384,P,70,iJO1366,3,EX_etoh_e
214,0.19623,16.4906,16.073,P,80,iJO1366,3,EX_etoh_e
215,0.22264,8.54996,8.437,P,90,iJO1366,3,EX_etoh_e
216,0.13079,38.59692,18.572,M,10,iJO1366,3,EX_for_e
217,0.13081,38.5893,15.979,M,20,iJO1366,3,EX_for_e
218,0.13081,38.58925,19.483,M,30,iJO1366,3,EX_for_e
219,0.13081,38.58925,66.628,M,40,iJO1366,3,EX_for_e
220,0.13081,38.58953,11.97,M,50,iJO1366,3,EX_for_e
221,0.17867,35.28705,44.343,M,60,iJO1366,3,EX_for_e
222,0.17866,35.28768,6.707,M,70,iJO1366,3,EX_for_e
223,0.1937,34.89046,8.696,M,80,iJO1366,3,EX_for_e
224,0.22286,17.44912,7.518,M,90,iJO1366,3,EX_for_e
225,0.13081,38.5905,63.926,O,10,iJO1366,3,EX_for_e
226,0.13081,38.58919,60.884,O,20,iJO1366,3,EX_for_e
227,0.13081,38.58919,59.706,O,30,iJO1366,3,EX_for_e
228,0.13081,38.5905,40.951,O,40,iJO1366,3,EX_for_e
229,0.13081,38.5905,34.239,O,50,iJO1366,3,EX_for_e
230,0.17867,35.28699,31.206,O,60,iJO1366,3,EX_for_e
231,0.17867,35.28699,30.888,O,70,iJO1366,3,EX_for_e
232,0.1937,34.89035,16.261,O,80,iJO1366,3,EX_for_e
233,0.22286,17.44901,19.354,O,90,iJO1366,3,EX_for_e
234,0.04954,28.90127,84.233,P,10,iJO1366,3,EX_for_e
235,0.04954,28.90127,65.446,P,20,iJO1366,3,EX_for_e
236,0.15106,26.64939,75.651,P,30,iJO1366,3,EX_for_e
237,0.15106,26.64939,60.568,P,40,iJO1366,3,EX_for_e
238,0.15106,26.64939,50.901,P,50,iJO1366,3,EX_for_e
239,0.15106,26.64939,34.789,P,60,iJO1366,3,EX_for_e
240,0.19481,34.7073,16.444,P,70,iJO1366,3,EX_for_e
241,0.19481,17.80859,20.629,P,80,iJO1366,3,EX_for_e
242,0.22286,17.44901,8.159,P,90,iJO1366,3,EX_for_e
243,0.07691,18.86302,35.755,M,10,iJO1366,3,EX_lac_e
244,0.07692,18.86296,52.187,M,20,iJO1366,3,EX_lac_e
245,0.07692,18.86294,46.162,M,30,iJO1366,3,EX_lac_e
246,0.1705,17.33453,42.656,M,40,iJO1366,3,EX_lac_e
247,0.1705,17.33453,53.137,M,50,iJO1366,3,EX_lac_e
248,0.17049,17.33472,19.719,M,60,iJO1366,3,EX_lac_e
249,0.1705,17.33453,16.216,M,70,iJO1366,3,EX_lac_e
250,0.1937,16.98234,9.281,M,80,iJO1366,3,EX_lac_e
251,0.24084,0.00215,33.459,M,90,iJO1366,3,EX_lac_e
252,0.07692,18.86302,56.663,O,10,iJO1366,3,EX_lac_e
253,0.07692,18.86302,57.536,O,20,iJO1366,3,EX_lac_e
254,0.07692,18.86291,54.81,O,30,iJO1366,3,EX_lac_e
255,0.1705,17.33451,39.479,O,40,iJO1366,3,EX_lac_e
256,0.1705,17.33451,40.958,O,50,iJO1366,3,EX_lac_e
257,0.1705,17.33451,40.024,O,60,iJO1366,3,EX_lac_e
258,0.1705,17.33451,38.993,O,70,iJO1366,3,EX_lac_e
259,0.1937,16.98229,22.305,O,80,iJO1366,3,EX_lac_e
260,0.2415,0.00007,19.324,O,90,iJO1366,3,EX_lac_e
261,0.07692,18.86291,46.484,P,10,iJO1366,3,EX_lac_e
262,0.07692,18.86291,50.915,P,20,iJO1366,3,EX_lac_e
263,0.07692,18.86291,40.735,P,30,iJO1366,3,EX_lac_e
264,0.18921,17.20292,27.693,P,40,iJO1366,3,EX_lac_e
265,0.18921,17.20292,22.958,P,50,iJO1366,3,EX_lac_e
266,0.18921,17.20292,37.04,P,60,iJO1366,3,EX_lac_e
267,0.18921,17.20292,21.425,P,70,iJO1366,3,EX_lac_e
268,0.19481,16.89871,14.092,P,80,iJO1366,3,EX_lac_e
269,0.23546,0.00001,33.107,P,90,iJO1366,3,EX_lac_e
270,0.76913,13.26995,13.82,M,10,iJR904,3,EX_for_e
271,0.18439,39.99455,1.379,M,20,iJR904,3,EX_for_e
272,0.58714,7.72702,17.193,M,30,iJR904,3,EX_for_e
273,0.36878,32.49871,11.685,M,40,iJR904,3,EX_for_e
274,0.65868,17.19025,18.857,M,50,iJR904,3,EX_for_e
275,0.55317,27.95345,1.402,M,60,iJR904,3,EX_for_e
276,0.82478,10.72395,19.279,M,70,iJR904,3,EX_for_e
277,0.76916,13.26617,10.658,M,80,iJR904,3,EX_for_e
278,0.82975,10.58061,2.357,M,90,iJR904,3,EX_for_e
279,0.09219,43.00484,0.62,O,10,iJR904,3,EX_for_e
280,0.18439,39.99459,0.616,O,20,iJR904,3,EX_for_e
281,0.27658,36.98433,0.559,O,30,iJR904,3,EX_for_e
282,0.36878,33.97408,0.575,O,40,iJR904,3,EX_for_e
283,0.46097,30.6583,9.676,O,50,iJR904,3,EX_for_e
284,0.55317,27.95357,0.559,O,60,iJR904,3,EX_for_e
285,0.64536,24.59304,0.603,O,70,iJR904,3,EX_for_e
286,0.73756,18.99502,3.224,O,80,iJR904,3,EX_for_e
287,0.82975,3.24071,12.359,O,90,iJR904,3,EX_for_e
288,0.89281,0.32803,195.275,P,10,iJR904,3,EX_for_e
289,0.18439,38.2206,17.637,P,20,iJR904,3,EX_for_e
290,0.89281,0.32802,163.997,P,30,iJR904,3,EX_for_e
291,0.89281,0.32799,155.26,P,40,iJR904,3,EX_for_e
292,0.89281,0.32799,113.337,P,50,iJR904,3,EX_for_e
293,0.55317,24.85564,41.357,P,60,iJR904,3,EX_for_e
294,0.89018,0.32702,74.976,P,70,iJR904,3,EX_for_e
295,0.89281,0.32799,51.079,P,80,iJR904,3,EX_for_e
296,0.89281,0.32799,30.018,P,90,iJR904,3,EX_for_e
297,0.81093,0.852,12.998,M,10,iJR904,3,EX_fum_e
298,0.18439,14.89366,2.37,M,20,iJR904,3,EX_fum_e
299,0.27658,12.73535,2.972,M,30,iJR904,3,EX_fum_e
300,0.36878,10.21748,17.225,M,40,iJR904,3,EX_fum_e
301,0.46097,9.24077,3.675,M,50,iJR904,3,EX_fum_e
302,0.72268,3.4925,18.382,M,60,iJR904,3,EX_fum_e
303,0.72858,3.31668,15.961,M,70,iJR904,3,EX_fum_e
304,0.73756,3.59767,4.227,M,80,iJR904,3,EX_fum_e
305,0.82975,1.76732,2.431,M,90,iJR904,3,EX_fum_e
306,0.09219,16.75265,4.038,O,10,iJR904,3,EX_fum_e
307,0.18439,14.89368,1.052,O,20,iJR904,3,EX_fum_e
308,0.27658,12.97229,7.775,O,30,iJR904,3,EX_fum_e
309,0.36878,11.14258,4.618,O,40,iJR904,3,EX_fum_e
310,0.46097,9.26756,3.303,O,50,iJR904,3,EX_fum_e
311,0.55317,7.39253,3.235,O,60,iJR904,3,EX_fum_e
312,0.64536,4.76201,20.425,O,70,iJR904,3,EX_fum_e
313,0.73756,3.64247,4.502,O,80,iJR904,3,EX_fum_e
314,0.82975,1.7524,3.128,O,90,iJR904,3,EX_fum_e
315,0.72431,0.75937,185.212,P,10,iJR904,3,EX_fum_e
316,0.18439,11.38441,65.898,P,20,iJR904,3,EX_fum_e
317,0.72431,0.75937,109.782,P,30,iJR904,3,EX_fum_e
318,0.72431,0.75937,101.149,P,40,iJR904,3,EX_fum_e
319,0.72431,0.75937,86.082,P,50,iJR904,3,EX_fum_e
320,0.72431,0.75937,83.903,P,60,iJR904,3,EX_fum_e
321,0.72232,0.75728,51.957,P,70,iJR904,3,EX_fum_e
322,0.84285,0.52958,36.526,P,80,iJR904,3,EX_fum_e
323,0.82975,1.66522,9.571,P,90,iJR904,3,EX_fum_e
324,0.3623585,14.45860639,0.954999924,M,10,iJR904,1,EX_ac_e
325,0.3623585,14.45860964,0.382999897,O,10,iJR904,1,EX_ac_e
326,0.3623585,7.877452633,0.379999876,P,10,iJR904,1,EX_ac_e
327,0.3623585,14.45860685,0.945999861,M,20,iJR904,1,EX_ac_e
328,0.3623585,14.45860347,0.450999975,O,20,iJR904,1,EX_ac_e
329,0.3623585,7.877452633,0.399999857,P,20,iJR904,1,EX_ac_e
