,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
579,0.9219480950719287,0.0,"['HEX1', 'MDH2']","[496, 710]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860700794515,50,EX_ac_e,288,2
580,0.8455794373791016,0.06948845438442032,"['FUM', 'MDH']","[358, 707]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.819941956099894,50,EX_ac_e,288,2
581,0.0,0.0,"['PGM', 'ICDHyr']","[1873, 1369]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
582,0.8452514760950626,0.0,"['GLCptspp', 'GND']","[1168, 1252]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.604978905175813,50,EX_succ_e,932,2
583,0.0,0.0,"['TALA', 'ICDHyr']","[2240, 1369]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
584,0.0,0.0,"['PGI', 'ACONTb']","[1866, 155]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
585,0.8773772758314012,0.0,"['LDH_D', 'PTAr']","[1466, 2072]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442989265842,50,EX_succ_e,932,2
586,0.0,0.0,"['CS', 'MDH3']","[435, 1615]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
587,0.8715880314206825,0.0,"['FBA', 'ACALD']","[1005, 109]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.605524815663138,50,EX_succ_e,932,2
588,0.0,0.0,"['RPE', 'TKT1']","[2104, 2208]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
589,0.873331542647853,0.0,"['LDH_D', 'TKT2']","[1466, 2209]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.761478431968634,50,EX_succ_e,932,2
590,0.877377275856079,0.0,"['GLCabcpp', 'PTAr']","[1163, 2072]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442988385906,50,EX_succ_e,932,2
591,0.7120675938176941,0.0,"['GLCabcpp', 'PGM']","[1163, 1873]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666579352392,50,EX_succ_e,932,2
592,0.8773772758755563,0.0,"['ACKr', 'FRD2']","[89, 1038]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442990004085,50,EX_succ_e,932,2
593,0.0,0.0,"['ALCD2x', 'ICDHyr']","[239, 1369]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
594,0.6086368421063311,0.0,"['GAPD', 'TKT1']","[1156, 2208]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.425181646916823,50,EX_succ_e,932,2
595,0.8551307799850393,0.0,"['GLCptspp', 'AKGDH']","[1168, 202]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.569673586021228,50,EX_succ_e,932,2
596,0.8107261199590372,0.0,"['TPI', 'LDH_D']","[2233, 1466]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.039626571750441,50,EX_succ_e,932,2
597,0.8104608603578956,0.0,"['FBA', 'TPI']","[1005, 2233]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.038509344530853,50,EX_succ_e,932,2
598,0.0,0.0,"['AKGDH', 'ACONTa']","[202, 154]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
599,0.8715880314027576,0.0,"['PFK', 'MDH3']","[1880, 1615]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.605524813523516,50,EX_succ_e,932,2
600,0.6089244066415537,0.0,"['PGK', 'ALCD2x']","[1867, 239]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.432321398383854,50,EX_succ_e,932,2
601,0.312704462294131,0.0,"['RPI', 'ACALD']","[2105, 109]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
602,0.8715880313985589,0.0,"['PFK', 'SUCOAS']","[1880, 2220]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.605524811976782,50,EX_succ_e,932,2
