C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0.817632942,0.850922868,P,8.890000105,20,iAF,2,"['ALCD2x', 'FUM']","[239, 1072]",0.177114246,13.54418423,0.817632942,0.850922868,0.177114246,13.31295314,3222,inf,92.32830934
0.817632942,0.850922868,P,10.46000004,20,iAF,3,"['ALCD2x', 'FUM']","[239, 1072]",0.177114246,13.54418423,0.817632942,0.850922868,0.177114246,13.31295314,3223,inf,92.32830934
0.817632942,0.850922868,P,8.578999996,30,iAF,1,"['FUM', 'SUCOAS']","[1072, 2220]",0.265671368,11.95520491,0.817632942,0.850922868,0.265671368,11.74793991,3231,inf,92.32830934
0.817632942,0.850922868,P,9.003999949,30,iAF,2,"['FUM', 'SUCOAS']","[1072, 2220]",0.265671368,11.95520491,0.817632942,0.850922868,0.265671368,11.74793991,3232,inf,92.32830934
0.817632942,0.850922868,P,10.01399994,30,iAF,3,"['FUM', 'SUCOAS']","[1072, 2220]",0.265671368,11.95520491,0.817632942,0.850922868,0.265671368,11.74793991,3233,inf,92.32830934
0.817632942,0.850922868,P,10.60100007,40,iAF,1,"['AKGDH', 'FUM']","[202, 1072]",0.354228491,10.36311596,0.817632942,0.850922868,0.354228491,10.19530808,3241,inf,92.32830934
0.817632942,0.850922868,P,10.92299986,40,iAF,2,"['AKGDH', 'FUM']","[202, 1072]",0.354228491,10.36311596,0.817632942,0.850922868,0.354228491,10.19530808,3242,inf,92.32830934
0.817632942,0.850922868,P,10.72799993,40,iAF,3,"['AKGDH', 'FUM']","[202, 1072]",0.354228491,10.36311596,0.817632942,0.850922868,0.354228491,10.19530808,3243,inf,92.32830934
0.817632942,0.850922869,P,8.38499999,50,iAF,1,"['ACALD', 'FUM']","[109, 1072]",0.442785614,8.770442989,0.817632942,0.850922868,0.442785614,8.666248393,3251,inf,92.32830933
0.817632942,0.850922869,P,7.329999924,50,iAF,2,"['ACALD', 'FUM']","[109, 1072]",0.442785614,8.770442989,0.817632942,0.850922868,0.442785614,8.666248393,3252,inf,92.32830933
