,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
38,0.240085770394246,0.2503916962118994,M,27.3270001411438,50,iJO,1,['FUM'],0.1207509166821842,10.909046424222058,0.2400860500268259,0.2503713364099685,0.1207509166821842,8.81438425521218
39,0.1831094240822711,1.414795300217033,O,6.621999979019165,50,iJO,2,"['PFL', 'TKT2']",0.1207509166821842,10.909046424222058,0.1831094240822717,0.0606941821439847,0.1207509166821842,10.119460417998727
40,0.2415018320297183,0.0800491632518985,P,0.6579999923706055,50,iJO,2,"['MDH2', 'PYK']",0.1207509166821842,10.909046424222058,0.2415018360335951,0.0800491645790482,0.1207509166821842,10.90904645103578
41,0.1831092106953058,1.4148355337720426,M,39.33099985122681,50,iJO,2,"['PFL', 'TKT2']",0.1207509166821842,10.909046424222058,0.1831094240822751,0.0606941821440072,0.1207509166821842,10.119460418004175
42,0.1831094240822968,1.4147951687469011,O,52.269999980926514,50,iJO,3,"['ACALD', 'PFL', 'TKT2']",0.1207509166821842,10.909046424222058,0.1831094240822703,1.4147942327340426,0.1207509166821842,10.119460418002555
43,0.2415018320297183,0.0800491632518985,P,0.9460000991821288,50,iJO,3,"['AKGDH', 'FRD2', 'MDH3']",0.1207509166821842,10.909046424222058,0.2415018320297203,0.0800491632518992,0.1207509166821842,10.909046451033609
44,0.1830392608231997,1.427159091877238,M,69.29499983787537,50,iJO,3,"['PFL', 'TKT2', 'TALA']",0.1207509166821842,10.909046424222058,0.1831094240822645,0.0606941821440183,0.1207509166821842,10.11946029724444
45,0.2400860500268512,0.250385077299164,O,1.069999933242798,60,iJO,1,['FUM'],0.1449011000186211,9.815300153489003,0.2400860500268259,0.2503713364099685,0.1449011000186211,7.081261106238473
46,0.2415018320297185,0.0800491632518986,P,0.4769999980926513,60,iJO,1,['PYK'],0.1449011000186211,9.815300153489003,0.2415018320297188,0.0800491632518987,0.1449011000186211,9.815300185686803
47,0.2400856724818652,0.2504121425086274,M,16.663999795913696,60,iJO,1,['FUM'],0.1449011000186211,9.815300153489003,0.2400860500268259,0.2503713364099685,0.1449011000186211,7.081261106238473
48,0.1831094240822988,1.4148281338846846,O,5.2230000495910645,60,iJO,2,"['PFL', 'TKT2']",0.1449011000186211,9.815300153489003,0.1831094240822717,0.0606941821439847,0.1449011000186211,8.151551175733523
49,0.1892142689064799,0.0627177184288174,P,0.4780001640319824,60,iJO,2,"['MDH2', 'PFL']",0.1449011000186211,9.815300153489003,0.1892142689064779,0.0627177184288065,0.1449011000186211,8.319297672969551
50,0.1831092111680028,1.4148325729645643,M,37.03999996185303,60,iJO,2,"['PFL', 'TKT2']",0.1449011000186211,9.815300153489003,0.1831094240822717,0.0606941821439847,0.1449011000186211,8.151551175733523
51,0.1831094240822954,1.4147948943809157,O,40.75999999046326,60,iJO,3,"['PFL', 'SUCOAS', 'TKT2']",0.1449011000186211,9.815300153489003,0.1831094290569069,1.4147939049516194,0.1449011000186211,8.151551175747239
52,0.2415018320297183,0.0800491632518985,P,0.7000000476837158,60,iJO,3,"['AKGDH', 'MDH2', 'PYK']",0.1449011000186211,9.815300153489003,0.2415018320297189,0.0800491632518987,0.1449011000186211,9.815300185692136
53,0.1830434714048575,1.4264240692695296,M,74.0329999923706,60,iJO,3,"['PFL', 'TKT2', 'TALA']",0.1449011000186211,9.815300153489003,0.1831094240822676,0.0606941821440047,0.1449011000186211,8.15155117573582
54,0.2400860500268523,0.2503716875298689,O,0.993000030517578,70,iJO,1,['FUM'],0.1690512833550579,8.721553882766388,0.2400860500268259,0.2503713364099685,0.1690512833550579,5.348138160108064
55,0.2415018320297185,0.0800491632518986,P,0.5899999141693115,70,iJO,1,['MDH2'],0.1690512833550579,8.721553882766388,0.2415018360335943,0.0800491645790393,0.1690512833550579,8.721553920333829
56,0.2400856350337898,0.2503973725249783,M,20.14300012588501,70,iJO,1,['FUM'],0.1690512833550579,8.721553882766388,0.2400860500268283,0.2503713364099716,0.1690512833550579,5.348138160121039
57,0.1831094240822703,1.414828347024203,O,4.560999870300293,70,iJO,2,"['PFL', 'TKT2']",0.1690512833550579,8.721553882766388,0.1831094240822758,1.414794232733346,0.1690512833550579,3.893476371591946
