,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
31,0.81763,0.85092,P,6.734,0.1,iAF1260,2,"['AKGDH', 'FUM']",0.08856,15.13316,0.81763,0.85092
32,0.0,16.72215,P,0.884,1.4e-16,iAF1260,2,"['HEX1', 'ICDHyr']",0.0,16.72214,0.0,0.0
0,0.2415,0.08005,M,1.607,1.0,iJO1366,2,"['GLCabcpp', 'PYK']",0.2415,0.08005,1.0,2000.0
1,0.24009,0.25041,M,9.661,0.9,iJO1366,2,"['FUM', 'MDH2']",0.21735,2.98538,0.24009,0.25037
2,0.24008,0.25087,M,17.046,0.8,iJO1366,2,"['FUM', 'MDH']",0.1932,5.89071,0.24009,0.25037
3,0.18311,1.41483,M,18.857,0.7,iJO1366,2,"['PFL', 'TKT2']",0.16905,8.72155,0.18311,0.06069
4,0.18311,1.41483,M,22.02,0.6,iJO1366,2,"['PFL', 'TKT2']",0.1449,9.8153,0.18311,0.06069
5,0.18311,1.41483,M,17.256,0.5,iJO1366,2,"['PFL', 'TKT2']",0.12075,10.90905,0.18311,0.06069
6,0.11729,2.31314,M,16.237,0.4,iJO1366,2,"['PFL', 'RPI']",0.0966,12.00279,0.11729,2.31308
7,0.11729,2.31308,M,10.693,0.3,iJO1366,2,"['PFL', 'RPI']",0.07245,13.01748,0.11729,2.31308
8,0.0531,8.97928,M,12.57,0.2,iJO1366,2,"['GLCptspp', 'PYK']",0.0483,13.93462,0.0531,8.97926
9,0.0531,8.97928,M,13.231,0.1,iJO1366,2,"['GLCptspp', 'PYK']",0.02415,14.85176,0.0531,8.97926
10,-0.0,15.76889,M,2.039,1.4e-16,iJO1366,2,"['RPE', 'RPI']",0.0,15.76889,0.0,0.0
11,0.2415,0.08008,O,0.464,1.0,iJO1366,2,"['AKGDH', 'PYK']",0.2415,0.08005,1.0,2000.0
12,0.24009,0.25037,O,5.896,0.9,iJO1366,2,"['FUM', 'SUCOAS']",0.21735,2.98538,0.24009,0.25037
13,0.24009,0.25037,O,12.213,0.8,iJO1366,2,"['FUM', 'MDH3']",0.1932,5.89071,0.24009,0.25037
14,0.18311,1.41479,O,13.728,0.7,iJO1366,2,"['PFL', 'TKT2']",0.16905,8.72155,0.18311,0.06069
15,0.18311,1.41479,O,12.851,0.6,iJO1366,2,"['PFL', 'TKT2']",0.1449,9.8153,0.18311,0.06069
16,0.18311,1.41479,O,12.959,0.5,iJO1366,2,"['PFL', 'TKT2']",0.12075,10.90905,0.18311,0.06069
17,0.11729,2.31308,O,18.217,0.4,iJO1366,2,"['PFL', 'RPI']",0.0966,12.00279,0.11729,2.31308
18,0.11729,2.31308,O,14.821,0.3,iJO1366,2,"['PFL', 'RPI']",0.07245,13.01748,0.11729,2.31308
19,0.0531,8.97926,O,16.391,0.2,iJO1366,2,"['GLCptspp', 'PYK']",0.0483,13.93462,0.0531,8.97926
20,0.0531,8.97926,O,18.523,0.1,iJO1366,2,"['GLCptspp', 'PYK']",0.02415,14.85176,0.0531,8.97926
21,-0.0,15.76889,O,1.424,1.4e-16,iJO1366,2,"['ICDHyr', 'MDH3']",0.0,15.76889,0.0,0.0
22,0.2415,0.08015,P,0.481,1.0,iJO1366,2,"['HEX1', 'PGL']",0.2415,0.08005,1.0,2000.0
23,0.24009,0.25037,P,1.676,0.9,iJO1366,2,"['FUM', 'PYK']",0.21735,2.98538,0.24009,0.25037
24,0.24009,0.25037,P,2.032,0.8,iJO1366,2,"['FUM', 'HEX1']",0.1932,5.89071,0.24009,0.25037
25,0.24009,0.25037,P,3.118,0.7,iJO1366,2,"['FUM', 'MDH3']",0.16905,8.72155,0.24009,0.25037
26,0.24009,0.25037,P,3.722,0.6,iJO1366,2,"['FUM', 'G6PDH2r']",0.1449,9.8153,0.24009,0.25037
27,0.24009,0.25037,P,4.884,0.5,iJO1366,2,"['FUM', 'MDH2']",0.12075,10.90905,0.24009,0.25037
28,0.24009,0.25037,P,4.111,0.4,iJO1366,2,"['FRD2', 'FUM']",0.0966,12.00279,0.24009,0.25037
29,0.24009,0.25037,P,4.236,0.3,iJO1366,2,"['FUM', 'MDH3']",0.07245,13.01748,0.24009,0.25037
30,0.24009,0.25037,P,4.652,0.2,iJO1366,2,"['FUM', 'MDH2']",0.0483,13.93462,0.24009,0.25037
31,0.24009,0.25037,P,4.717,0.1,iJO1366,2,"['FUM', 'PFK']",0.02415,14.85176,0.24009,0.25037
32,0.24009,0.25037,P,10.921,1.4e-16,iJO1366,2,"['FRD2', 'FUM']",0.0,15.76889,0.24009,0.25037
0,0.92195,1e-05,M,0.848,1.0,iJR904,2,"['ACALD', 'PYK']",0.92195,-0.0,0.92195,0.0
1,0.83255,1.90414,M,2.967,0.9,iJR904,2,"['PGI', 'TKT1']",0.82975,3.7271,0.83255,1.90413
2,0.73756,6.9555,M,2.307,0.8,iJR904,2,"['GND', 'RPE']",0.73756,7.28433,0.89992,0.42688
3,0.66986,5.3787,M,3.632,0.7,iJR904,2,"['HEX1', 'PGM']",0.64536,10.4353,0.66986,5.37864
4,0.5598,7.83264,M,3.666,0.6,iJR904,2,"['GAPD', 'HEX1']",0.55317,13.02168,0.5598,7.83248
5,0.53219,8.38574,M,2.977,0.5,iJR904,2,"['PGK', 'PGL']",0.46097,15.52386,0.53219,8.38375
6,0.53218,8.38881,M,2.745,0.4,iJR904,2,"['G6PDH2r', 'PGK']",0.36878,18.02605,0.53219,8.38375
7,0.53218,8.38994,M,3.253,0.3,iJR904,2,"['G6PDH2r', 'GAPD']",0.27658,20.5049,0.53219,8.38375
8,0.18439,22.87759,M,0.715,0.2,iJR904,2,"['ICDHyr', 'PFL']",0.18439,22.87756,0.18439,15.99219
9,0.09219,25.18523,M,1.115,0.1,iJR904,2,"['CS', 'PGL']",0.09219,25.18522,0.09219,17.9961
10,0.0,27.49286,M,1.226,1.4e-16,iJR904,2,"['CS', 'PFL']",0.0,27.49286,0.0,20.0
11,0.92195,1e-05,O,0.155,1.0,iJR904,2,"['ACALD', 'FRD2']",0.92195,-0.0,0.92195,0.0
12,0.82975,3.38797,O,2.568,0.9,iJR904,2,"['RPE', 'TKT1']",0.82975,3.7271,0.82975,1.96487
13,0.74006,3.84645,O,6.405,0.8,iJR904,2,"['G6PDH2r', 'TPI']",0.73756,7.28433,0.74006,3.84645
14,0.66986,5.37864,O,5.797,0.7,iJR904,2,"['ENO', 'HEX1']",0.64536,10.4353,0.66986,5.37864
