,Biomass,Chemical,Method,Time,Tgt,Strain,K,Strategy
5,0.44279,8.7705,M,5.85,0.5,iAF1260,3,"['ACALD', 'RPI', 'PYK']"
6,0.35423,10.36317,M,3.486,0.4,iAF1260,3,"['GND', 'RPE', 'PYK']"
7,0.26567,11.95254,M,5.551,0.3,iAF1260,3,"['ACKr', 'TKT2', 'TALA']"
8,0.17711,13.54423,M,3.511,0.2,iAF1260,3,"['GND', 'PGL', 'RPE']"
9,0.08856,15.13321,M,2.669,0.1,iAF1260,3,"['G6PDH2r', 'GND', 'RPE']"
10,0.0,16.72216,M,1.077,1.4e-16,iAF1260,3,"['ACALD', 'AKGDH', 'ICDHyr']"
11,0.88557,0.00011,C,0.292,1.0,iAF1260,3,"['HEX1', 'PFL', 'PYK']"
12,0.79701,2.28987,C,27.103,0.9,iAF1260,3,"['GND', 'PFL', 'TKT2']"
13,0.70846,3.94949,C,6.92,0.8,iAF1260,3,"['HEX1', 'RPI', 'TKT2']"
14,0.6199,5.38435,C,74.872,0.7,iAF1260,3,"['GND', 'PFK', 'RPE']"
15,0.53134,7.15097,C,20.093,0.6,iAF1260,3,"['MDH3', 'RPE', 'TKT1']"
16,0.44279,8.75576,C,23.801,0.5,iAF1260,3,"['FRD2', 'RPE', 'TKT1']"
17,0.35423,10.36054,C,14.066,0.4,iAF1260,3,"['FRD2', 'RPE', 'TKT1']"
18,0.26567,11.95526,C,6.536,0.3,iAF1260,3,"['GLCabcpp', 'RPI', 'TKT2']"
19,0.17711,13.50585,C,36.717,0.2,iAF1260,3,"['RPE', 'TKT1', 'SUCOAS']"
20,0.08856,15.13274,C,2.681,0.1,iAF1260,3,"['GLCabcpp', 'GND', 'RPE']"
21,0.0,16.72215,C,2.01,1.4e-16,iAF1260,3,"['G6PDH2r', 'HEX1', 'ICDHyr']"
22,0.88557,0.00011,P,0.41,1.0,iAF1260,3,"['FRD2', 'GLCabcpp', 'HEX1']"
23,0.81763,0.85092,P,74.589,0.9,iAF1260,3,"['AKGDH', 'FUM', 'HEX1']"
24,0.70846,3.99248,P,0.681,0.8,iAF1260,3,"['FRD2', 'HEX1', 'TKT2']"
25,0.6199,5.58515,P,0.844,0.7,iAF1260,3,"['FRD2', 'HEX1', 'MDH']"
